"time","open","high","low","close","volume"
"2023-01-27T00:00:00.000Z","0.526","0.535","0.508","0.535","53445.83018656"
"2023-01-28T00:00:00.000Z","0.535","0.548","0.517","0.529","43076.47452149"
"2023-01-29T00:00:00.000Z","0.527","0.542","0.522","0.540","43944.20546560"
"2023-01-30T00:00:00.000Z","0.543","0.543","0.489","0.509","77013.65613053"
"2023-01-31T00:00:00.000Z","0.508","0.517","0.503","0.513","18974.66126607"
"2023-02-01T00:00:00.000Z","0.512","0.530","0.495","0.529","86695.47213031"
"2023-02-02T00:00:00.000Z","0.529","0.575","0.529","0.541","311985.64395446"
"2023-02-03T00:00:00.000Z","0.542","0.573","0.537","0.566","63438.30839286"
"2023-02-04T00:00:00.000Z","0.564","0.604","0.553","0.580","120235.61401483"
"2023-02-05T00:00:00.000Z","0.582","0.622","0.535","0.561","264090.38643934"
"2023-02-06T00:00:00.000Z","0.563","0.595","0.552","0.556","122719.99685223"
"2023-02-07T00:00:00.000Z","0.554","0.589","0.547","0.587","146688.47782951"
"2023-02-08T00:00:00.000Z","0.585","0.595","0.546","0.564","212159.18690263"
"2023-02-09T00:00:00.000Z","0.566","0.572","0.514","0.526","389906.72741877"
"2023-02-10T00:00:00.000Z","0.527","0.540","0.521","0.532","64405.81084078"
"2023-02-11T00:00:00.000Z","0.531","0.541","0.526","0.541","13574.50148279"
"2023-02-12T00:00:00.000Z","0.540","0.545","0.522","0.533","40773.77437351"
"2023-02-13T00:00:00.000Z","0.531","0.538","0.514","0.530","122448.08893036"
"2023-02-14T00:00:00.000Z","0.531","0.542","0.525","0.537","39956.31841017"
"2023-02-15T00:00:00.000Z","0.542","0.567","0.482","0.567","315810.04474847"
"2023-02-16T00:00:00.000Z","0.568","0.572","0.542","0.542","71984.51994711"
"2023-02-17T00:00:00.000Z","0.541","0.573","0.541","0.568","77269.25806175"
"2023-02-18T00:00:00.000Z","0.569","0.582","0.563","0.573","93030.07435372"
"2023-02-19T00:00:00.000Z","0.575","0.659","0.569","0.576","432786.45756577"
"2023-02-20T00:00:00.000Z","0.579","0.615","0.563","0.614","87478.22343461"
"2023-02-21T00:00:00.000Z","0.616","0.694","0.604","0.689","310280.44350154"
"2023-02-22T00:00:00.000Z","0.682","0.682","0.630","0.644","66457.40253354"
"2023-02-23T00:00:00.000Z","0.643","0.643","0.611","0.617","64346.99672489"
"2023-02-24T00:00:00.000Z","0.623","0.624","0.586","0.594","91858.92012700"
"2023-02-25T00:00:00.000Z","0.598","0.598","0.566","0.581","41583.85029783"
"2023-02-26T00:00:00.000Z","0.582","0.597","0.570","0.583","34870.98906053"
"2023-02-27T00:00:00.000Z","0.588","0.588","0.564","0.576","23786.34843177"
"2023-02-28T00:00:00.000Z","0.578","0.586","0.568","0.574","9164.05397388"
"2023-03-01T00:00:00.000Z","0.570","0.598","0.569","0.586","97958.68157549"
"2023-03-02T00:00:00.000Z","0.588","0.588","0.553","0.563","128241.19827328"
"2023-03-03T00:00:00.000Z","0.562","0.562","0.505","0.528","45467.41958209"
